Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.000005	1.095598	1.291390	73.686000	68.696000	
0.000005	1.090732	1.273235	73.715333	69.000000	
0.000005	1.088890	1.236920	73.802000	69.836000	
0.000005	1.083527	1.268983	73.862667	69.204000	
0.000005	1.081905	1.278605	73.892667	68.978000	
0.000005	1.082823	1.246262	73.872000	69.656000	
0.000005	1.082301	1.286891	73.974667	68.724000	
0.000005	1.080990	1.226790	74.014667	70.062000	
0.000005	1.082884	1.235032	73.937333	69.824000	
0.000005	1.074233	1.275513	74.050000	69.092000	
0.000005	1.072520	1.231941	74.188000	70.206000	
0.000005	1.074904	1.243817	74.095333	69.778000	
0.000005	1.078651	1.230180	74.032667	70.006000	
0.000005	1.076172	1.225983	73.996000	70.090000	
0.000005	1.074153	1.239532	74.111333	69.984000	
0.000005	1.074621	1.237431	74.080000	69.890000	
0.000005	1.069857	1.234253	74.063333	69.998000	
0.000005	1.076621	1.232619	74.039333	70.188000	
0.000005	1.070790	1.233679	74.234000	70.016000	
0.000005	1.068295	1.240437	74.247333	70.020000	
0.000005	1.074033	1.218817	74.148000	70.372000	
0.000005	1.072435	1.212578	74.014667	70.576000	
0.000005	1.070820	1.211528	74.266000	70.618000	
0.000005	1.070775	1.203421	74.168000	70.536000	
0.000005	1.066770	1.208016	74.255333	70.662000	
0.000005	1.071637	1.217273	74.188000	70.608000	
0.000005	1.068285	1.211604	74.238000	70.610000	
0.000005	1.069827	1.209124	74.266667	70.540000	
0.000005	1.061402	1.205320	74.338000	70.792000	
0.000005	1.064673	1.207899	74.355333	70.656000	
0.000005	1.064660	1.206388	74.348000	70.634000	
0.000005	1.060858	1.211774	74.525333	70.660000	
0.000005	1.066319	1.212347	74.224667	70.646000	
0.000005	1.065843	1.221014	74.317333	70.564000	
0.000005	1.063993	1.219841	74.334667	70.544000	
0.000005	1.061423	1.207849	74.320000	70.618000	
0.000005	1.055206	1.205552	74.495333	70.696000	
0.000005	1.057400	1.205920	74.429333	70.774000	
0.000005	1.060603	1.218559	74.420667	70.558000	
0.000005	1.056728	1.212165	74.462667	70.598000	
0.000005	1.062001	1.207846	74.444000	70.666000	
0.000005	1.058181	1.215242	74.462000	70.578000	
0.000005	1.062769	1.207194	74.391333	70.674000	
0.000005	1.057872	1.210363	74.544667	70.614000	
0.000005	1.060782	1.211060	74.561333	70.596000	
0.000005	1.059587	1.216747	74.363333	70.612000	
0.000005	1.054465	1.210953	74.529333	70.756000	
0.000005	1.056420	1.206498	74.597333	70.842000	
0.000005	1.049417	1.208614	74.682667	70.790000	
0.000005	1.051023	1.207580	74.606667	70.718000	
0.000005	1.050231	1.195829	74.595333	70.998000	
0.000005	1.052363	1.201243	74.480667	70.860000	
0.000005	1.059360	1.198480	74.365333	71.066000	
0.000005	1.058077	1.198335	74.572667	71.004000	
0.000005	1.054074	1.197929	74.616667	70.966000	
0.000005	1.049342	1.197259	74.604000	70.958000	
0.000005	1.063022	1.193709	74.439333	71.092000	
0.000005	1.058353	1.199273	74.479333	71.052000	
0.000005	1.055167	1.197643	74.632000	70.924000	
0.000005	1.047635	1.194108	74.588667	71.014000	
0.000005	1.049384	1.198420	74.540667	70.890000	
0.000005	1.050668	1.207040	74.598000	70.926000	
0.000005	1.054447	1.208120	74.447333	70.878000	
0.000005	1.051089	1.197941	74.596667	70.962000	
0.000005	1.042559	1.199049	74.917333	71.048000	
0.000005	1.046504	1.193341	74.711333	71.080000	
0.000005	1.048547	1.196628	74.728667	71.150000	
0.000005	1.052776	1.197315	74.561333	71.026000	
0.000005	1.048021	1.202220	74.559333	70.906000	
0.000005	1.049185	1.199035	74.623333	71.190000	
0.000005	1.052427	1.193231	74.600000	71.080000	
0.000005	1.040877	1.205812	74.782000	70.850000	
0.000005	1.048259	1.195511	74.772667	71.138000	
0.000005	1.048826	1.197887	74.660667	70.962000	
0.000005	1.049221	1.195241	74.664667	71.066000	
0.000005	1.042769	1.195863	74.767333	71.076000	
0.000005	1.039026	1.192501	74.806000	70.980000	
0.000005	1.045808	1.204210	74.747333	70.984000	
0.000005	1.048016	1.201060	74.626667	71.002000	
0.000005	1.039177	1.200823	74.959333	71.026000	
0.000005	1.041758	1.199934	74.837333	71.018000	
0.000005	1.038579	1.205888	74.874000	70.918000	
0.000005	1.039840	1.195005	74.755333	70.950000	
0.000005	1.039525	1.207927	74.846000	70.960000	
0.000005	1.044161	1.206111	74.856667	70.938000	
0.000005	1.038487	1.194654	74.926667	71.024000	
0.000005	1.035980	1.209727	74.976667	70.876000	
0.000005	1.037606	1.200834	74.644000	71.030000	
0.000005	1.038403	1.203324	74.868667	70.988000	
0.000005	1.035791	1.205322	74.972667	70.854000	
0.000005	1.039379	1.201090	74.865333	70.992000	
0.000005	1.034519	1.201992	74.951333	70.936000	
0.000005	1.039695	1.207392	74.880667	70.768000	
0.000005	1.038545	1.198639	74.854667	71.080000	
0.000005	1.037437	1.202102	74.876000	70.950000	
0.000005	1.040127	1.200055	74.784667	70.932000	
0.000005	1.030582	1.194470	74.932667	70.974000	
0.000005	1.030295	1.208411	75.006000	70.944000	
0.000005	1.034409	1.207394	75.042667	70.968000	
0.000005	1.038162	1.202694	74.864667	70.956000	
0.000005	1.040325	1.199895	74.792000	71.020000	
0.000005	1.037737	1.203221	74.847333	71.110000	
0.000005	1.035760	1.201700	74.944000	71.066000	
0.000005	1.038120	1.197895	74.784667	71.100000	
0.000005	1.040553	1.196398	74.853333	71.140000	
0.000005	1.031307	1.196967	75.006000	71.148000	
0.000005	1.030876	1.197485	75.154667	71.218000	
0.000005	1.034614	1.199974	74.841333	71.068000	
0.000005	1.034119	1.198442	74.964667	71.274000	
0.000005	1.030595	1.199595	75.051333	71.218000	
0.000005	1.035569	1.194209	74.906000	71.190000	
0.000005	1.033618	1.193940	74.986667	71.102000	
0.000005	1.032454	1.198239	74.986667	71.236000	
0.000005	1.029478	1.198620	75.098000	71.054000	
0.000005	1.024426	1.199596	75.080000	71.074000	
0.000005	1.030474	1.202656	75.094667	71.098000	
0.000005	1.032504	1.193183	75.021333	71.210000	
0.000005	1.036435	1.187998	74.956000	71.346000	
0.000005	1.021482	1.200622	75.224667	71.056000	
0.000005	1.027597	1.196544	75.106000	71.190000	
0.000005	1.022235	1.195252	75.178667	71.276000	
0.000005	1.026492	1.200717	75.099333	71.160000	
0.000005	1.028261	1.197930	75.097333	71.118000	
0.000005	1.025858	1.202255	75.133333	71.130000	
0.000005	1.021616	1.204892	75.182000	71.078000	
0.000005	1.021649	1.196940	75.232000	71.158000	
0.000005	1.022835	1.195968	75.106000	71.226000	
0.000005	1.019574	1.194471	75.184667	71.300000	
0.000005	1.016984	1.193428	75.338667	71.184000	
0.000005	1.024095	1.192641	75.216000	71.324000	
0.000005	1.017865	1.200593	75.294000	71.230000	
0.000005	1.022631	1.192960	75.155333	71.306000	
0.000005	1.018606	1.200543	75.311333	71.194000	
0.000005	1.016424	1.195520	75.393333	71.216000	
0.000005	1.020626	1.200385	75.144667	71.208000	
0.000005	1.025285	1.195724	75.183333	71.134000	
0.000005	1.020711	1.203490	75.306000	71.196000	
0.000005	1.018747	1.194218	75.191333	71.242000	
0.000005	1.019180	1.196872	75.274000	71.132000	
0.000005	1.014859	1.196649	75.376000	71.146000	
0.000005	1.015082	1.195808	75.281333	71.170000	
0.000005	1.015410	1.195166	75.504000	71.148000	
0.000005	1.011173	1.205970	75.506000	71.066000	
0.000005	1.019750	1.203821	75.228667	71.156000	
0.000005	1.010946	1.196930	75.384000	71.220000	
0.000005	1.011077	1.199022	75.452667	71.044000	
0.000005	1.014446	1.199233	75.360667	71.104000	
0.000005	1.013762	1.201242	75.483333	71.214000	
0.000005	1.014986	1.201609	75.426667	71.082000	
0.000005	1.011177	1.204192	75.479333	71.114000	
